"id_regla","activa","prioridad","tipo_regla","campo_objetivo","operador","patron","patron_adicional","patron_exclusion","codigo_disciplina","disciplina_nombre","codigo_familia","familia_nombre","codigo_subfamilia","subfamilia_nombre","paquete_comparativo","metodo_valoracion","fuente_objetivo","requiere_fuente_actual","criterio_estadistico","confianza","requiere_revision","comentario"
"R097","Sí","2.0","palabra_clave","desc","contiene","aglomerado","","","CIV","Civil","CIV-15","Urbanización y paisajismo","CIV-15-FIR","Firmes asfálticos","Urbanización","Oferta específica","Asfaltos","Sí","Precio proveedor validado","95","Sí","Dependiente de planta y volumen"
"R098","Sí","2.0","palabra_clave","desc","contiene","mezcla bituminosa","","","CIV","Civil","CIV-15","Urbanización y paisajismo","CIV-15-FIR","Firmes asfálticos","Urbanización","Oferta específica","Asfaltos","Sí","Precio proveedor validado","95","Sí","Dependiente de planta y volumen"
"R099","Sí","2.0","palabra_clave","desc","contiene","bordillo","","","CIV","Civil","CIV-15","Urbanización y paisajismo","CIV-15-URB","Bordillos / aceras","Urbanización","Referencia histórica actualizada","Obra propia","No","Mediana si >=3 fuentes; mínimo 2","85","No","Paquetizable"
"R100","Sí","2.0","palabra_clave","desc","contiene","acera","","","CIV","Civil","CIV-15","Urbanización y paisajismo","CIV-15-URB","Bordillos / aceras","Urbanización","Referencia histórica actualizada","Obra propia","No","Mediana si >=3 fuentes; mínimo 2","85","No","Paquetizable"
"R101","Sí","2.0","palabra_clave","desc","contiene","cesped","","","CIV","Civil","CIV-15","Urbanización y paisajismo","CIV-15-JAR","Jardinería / paisajismo","Urbanización","Oferta específica","Jardinero / urbanización","No","Precio proveedor validado","95","No","No movimiento de tierras"
"R102","Sí","2.0","palabra_clave","desc","contiene","siembra","","","CIV","Civil","CIV-15","Urbanización y paisajismo","CIV-15-JAR","Jardinería / paisajismo","Urbanización","Oferta específica","Jardinero / urbanización","No","Precio proveedor validado","90","No","Siembra de gramineas"
"R103","Sí","2.0","palabra_clave","desc","contiene","tierra vegetal","","","CIV","Civil","CIV-15","Urbanización y paisajismo","CIV-15-JAR","Jardinería / paisajismo","Urbanización","Referencia histórica actualizada","Obra propia","No","Mediana si >=3 fuentes; mínimo 2","88","Sí","Tierra vegetal para ajardinamiento"
"R104","Sí","2.0","palabra_clave","desc","contiene_y_no_contiene","arqueta","","electrica","CIV","Civil","CIV-10","Redes enterradas civiles y drenaje","CIV-10-ARQ","Arquetas / drenaje","Redes enterradas","Referencia histórica actualizada","Obra propia","No","Mediana si >=3 fuentes; mínimo 2","85","Sí","Puede ser obra hidraulica civil"
"R105","Sí","2.0","palabra_clave","desc","contiene","canalizacion electrica","","","CIV","Civil","CIV-10","Redes enterradas civiles y drenaje","CIV-10-CAN","Canalizaciones eléctricas civiles","Redes enterradas","Referencia histórica actualizada","Instalador electrico","No","Mediana si >=3 fuentes; mínimo 2","90","Sí","Obra civil asociada a electrico"
"R106","Sí","2.0","palabra_clave","desc","contiene_y_no_contiene","tuberia pvc","","proceso","CIV","Civil","CIV-10","Redes enterradas civiles y drenaje","CIV-10-TUB","Tuberías PVC / redes","Redes enterradas","Referencia histórica actualizada","Obra propia","No","Mediana si >=3 fuentes; mínimo 2","88","Sí","Tuberia civil saneamiento o drenaje"
"R107","Sí","2.0","palabra_clave","desc","contiene","tuberia pvc-u","","","CIV","Civil","CIV-10","Redes enterradas civiles y drenaje","CIV-10-TUB","Tuberías PVC / redes","Redes enterradas","Referencia histórica actualizada","Obra propia","No","Mediana si >=3 fuentes; mínimo 2","90","Sí","Tuberia saneamiento estructurada"
"R108","Sí","2.0","palabra_clave","desc","contiene","geotextil","","","CIV","Civil","CIV-03","Movimiento de tierras","CIV-03-GEO","Geotextil / filtros granulares","Movimiento de tierras","Referencia histórica actualizada","Obra propia","No","Mediana si >=3 fuentes; mínimo 2","85","Sí","Segun uso: relleno tecnico o urbanizacion"
"R109","Sí","2.0","palabra_clave","desc","contiene","enfoscado","","","CIV","Civil","CIV-14","Arquitectura y acabados","CIV-14-ACA","Acabados interiores","Arquitectura","Referencia histórica actualizada","Obra propia / proveedor","No","Mediana si >=3 fuentes; mínimo 2","85","No","Revestimiento interior"
"R110","Sí","2.0","palabra_clave","desc","contiene","pintura plastica","","","CIV","Civil","CIV-14","Arquitectura y acabados","CIV-14-ACA","Acabados interiores","Arquitectura","Referencia histórica actualizada","Obra propia","No","Mediana si >=3 fuentes; mínimo 2","85","No","Pintura interior"
"R111","Sí","2.0","palabra_clave","desc","contiene","fabrica bloque","","","CIV","Civil","CIV-14","Arquitectura y acabados","CIV-14-OBF","Obra de fábrica / mampostería","Arquitectura","Referencia histórica actualizada","Obra propia","No","Mediana si >=3 fuentes; mínimo 2","85","No","Bloque ceramico o de hormigon"
"R112","Sí","2.0","palabra_clave","desc","contiene","zahorra","","","CIV","Civil","CIV-15","Urbanización y paisajismo","CIV-15-ZAH","Firmes / zahorra","Urbanización","Oferta específica","Cantera local","Sí","Precio proveedor validado","85","Sí","Zahorra para viales o relleno tecnico"
"R113","Sí","2.0","palabra_clave","desc","contiene","encachado","","","CIV","Civil","CIV-03","Movimiento de tierras","CIV-03-REL","Rellenos","Movimiento de tierras","Referencia histórica actualizada","Obra propia","No","Mediana si >=3 fuentes; mínimo 2","85","Sí","Base granular o encachado"
"R114","Sí","2.0","palabra_clave","desc","contiene","bomba","","","MEC","Mecánico","MEC-01","Equipos mecánicos de proceso","MEC-01-BOM","Bombas de proceso","Equipos mecánicos","Oferta específica","Proveedor mecanico","Sí","Precio proveedor validado","90","Sí","Excepcion bombeo hormigon en p1"
"R115","Sí","2.0","palabra_clave","desc","contiene","motobomba","","","MEC","Mecánico","MEC-01","Equipos mecánicos de proceso","MEC-01-BOM","Bombas de proceso","Equipos mecánicos","Oferta específica","Proveedor mecanico","Sí","Precio proveedor validado","90","Sí","Equipo de proceso"
"R116","Sí","2.0","palabra_clave","desc","contiene","soplante","","","MEC","Mecánico","MEC-01","Equipos mecánicos de proceso","MEC-01-SOP","Soplantes","Equipos mecánicos","Oferta específica","Proveedor mecanico","Sí","Precio proveedor validado","90","Sí","Equipo de proceso"
"R117","Sí","2.0","palabra_clave","desc","contiene","compresor","","","MEC","Mecánico","MEC-01","Equipos mecánicos de proceso","MEC-01-COM","Compresores","Equipos mecánicos","Oferta específica","Proveedor mecanico","Sí","Precio proveedor validado","90","Sí","Equipo de proceso"
"R118","Sí","2.0","palabra_clave","desc","contiene","agitador","","","MEC","Mecánico","MEC-01","Equipos mecánicos de proceso","MEC-01-AGI","Equipo mecánico","Equipos mecánicos","Oferta específica","Proveedor mecanico","Sí","Precio proveedor validado","90","Sí","Equipo de proceso"
"R119","Sí","2.0","palabra_clave","desc","contiene","dosificacion","","","MEC","Mecánico","MEC-05","Dosificación química y reactivos","MEC-05-DOS","Dosificación química","Mecánico","Oferta específica","Skids quimicos","Sí","Precio proveedor validado","95","Sí","Incluye depositos bombas tuberias"
"R120","Sí","2.0","palabra_clave","desc","contiene","valvula","","","MEC","Mecánico","MEC-04","Válvulas, actuadores y compuertas","MEC-04-VAL","Válvulas / compuertas","Mecánico","Oferta específica","Valvuleria","Sí","Precio proveedor validado","95","Sí","Revisar actuador incluido"
"R121","Sí","2.0","palabra_clave","desc","contiene","compuerta","","","MEC","Mecánico","MEC-04","Válvulas, actuadores y compuertas","MEC-04-VAL","Válvulas / compuertas","Mecánico","Oferta específica","Valvuleria","Sí","Precio proveedor validado","95","Sí","Revisar actuador incluido"
"R122","Sí","2.0","palabra_clave","desc","contiene","actuador","","","MEC","Mecánico","MEC-04","Válvulas, actuadores y compuertas","MEC-04-VAL","Válvulas / compuertas","Mecánico","Oferta específica","Valvuleria","Sí","Precio proveedor validado","95","Sí","Revisar actuador incluido"
"R123","Sí","2.0","palabra_clave","desc","contiene","puente grua","","","MEC","Mecánico","MEC-06","Elevación y manutención","MEC-06-ELE","Elevación","Mecánico","Oferta específica","Elevacion","Sí","Precio proveedor validado","95","Sí","Interfaz civil-estructural"
"R124","Sí","2.0","palabra_clave","desc","contiene","polipasto","","","MEC","Mecánico","MEC-06","Elevación y manutención","MEC-06-ELE","Elevación","Mecánico","Oferta específica","Elevacion","Sí","Precio proveedor validado","95","Sí","Interfaz civil-estructural"
"R125","Sí","2.0","palabra_clave","desc","contiene","transformador","","","ELE","Eléctrico","ELE-02","Centros de transformación","ELE-02-TRF","Transformadores","Eléctrico","Oferta específica","Proveedor electrico","Sí","Precio proveedor validado","98","Sí","No MEP"
"R126","Sí","2.0","palabra_clave","desc","contiene","media tension","","","ELE","Eléctrico","ELE-01","Alta y media tensión","ELE-01-MT","Celdas MT","Eléctrico","Oferta específica","Proveedor MT","Sí","Precio proveedor validado","95","Sí","Alta criticidad"
"R127","Sí","2.0","palabra_clave","desc","contiene","ccm","","","ELE","Eléctrico","ELE-03","Baja tensión, CCM y cuadros","ELE-03-CCM","Cuadros BT / CCM","Eléctrico","Oferta específica","Cuadrista","Sí","Precio proveedor validado","95","Sí","Revisar montaje y pruebas"
"R128","Sí","2.0","palabra_clave","desc","contiene","cgbt","","","ELE","Eléctrico","ELE-03","Baja tensión, CCM y cuadros","ELE-03-CCM","Cuadros BT / CCM","Eléctrico","Oferta específica","Cuadrista","Sí","Precio proveedor validado","95","Sí","Revisar montaje y pruebas"
"R129","Sí","2.0","palabra_clave","desc","contiene","variador","","","ELE","Eléctrico","ELE-04","Variadores, arrancadores y compensación","ELE-04-VAR","Variadores / arrancadores","Eléctrico","Oferta específica","Proveedor VFD","Sí","Precio proveedor validado","95","Sí","Critico en bombas"
"R130","Sí","2.0","palabra_clave","desc","contiene","vfd","","","ELE","Eléctrico","ELE-04","Variadores, arrancadores y compensación","ELE-04-VAR","Variadores / arrancadores","Eléctrico","Oferta específica","Proveedor VFD","Sí","Precio proveedor validado","95","Sí","Critico en bombas"
"R131","Sí","2.0","palabra_clave","desc","contiene","puesta a tierra","","","ELE","Eléctrico","ELE-06","Puesta a tierra y protección contra el rayo","ELE-06-TIE","Puesta a tierra","Eléctrico","Oferta específica","Instalador electrico","Sí","Precio proveedor validado","95","Sí","No meter en building services"
"R132","Sí","2.0","palabra_clave","desc","contiene","pararrayos","","","ELE","Eléctrico","ELE-06","Puesta a tierra y protección contra el rayo","ELE-06-TIE","Puesta a tierra","Eléctrico","Oferta específica","Instalador electrico","Sí","Precio proveedor validado","95","Sí","No meter en building services"
"R133","Sí","2.0","palabra_clave","desc","contiene","grupo electrogeno","","","ELE","Eléctrico","ELE-08","Grupos electrógenos, SAI y baterías","ELE-08-GRP","Generación / respaldo","Eléctrico","Oferta específica","Proveedor electrico","Sí","Precio proveedor validado","95","Sí","Equipos especificos"
"R134","Sí","2.0","palabra_clave","desc","contiene","caudalimetro","","","ICA","I&C","ICA-01","Instrumentación de campo","ICA-01-INS","Instrumentación de campo","I&C","Oferta específica","Instrumentacion","Sí","Precio proveedor validado","95","Sí","Revisar montaje y cableado"
"R135","Sí","2.0","palabra_clave","desc","contiene","transmisor","","","ICA","I&C","ICA-01","Instrumentación de campo","ICA-01-INS","Instrumentación de campo","I&C","Oferta específica","Instrumentacion","Sí","Precio proveedor validado","95","Sí","Revisar montaje y cableado"
"R136","Sí","2.0","palabra_clave","desc","contiene","scada","","","ICA","I&C","ICA-04","SCADA y supervisión","ICA-04-SCA","SCADA","I&C","Oferta específica","Integrador control","Sí","Precio proveedor validado","95","Sí","Incluir licencias y migracion"
"R137","Sí","2.0","palabra_clave","desc","contiene","plc","","","ICA","I&C","ICA-03","PLC, RTU y control local","ICA-03-PLC","PLC / RTU","I&C","Oferta específica","Automatizacion","Sí","Precio proveedor validado","95","Sí","Separar SCADA"
"R138","Sí","2.0","palabra_clave","desc","contiene","cctv","","","ICA","I&C","ICA-06","CCTV, control de accesos y seguridad electrónica","ICA-06-SUR","Seguridad electrónica","I&C","Oferta específica","Seguridad electronica","Sí","Precio proveedor validado","95","Sí","No clasificar como civil"
"R139","Sí","2.0","palabra_clave","desc","contiene","hvac","","","MEP","Building services","MEP-01","HVAC","MEP-01-HVC","HVAC","MEP","Oferta específica","Instalador HVAC","Sí","Precio proveedor validado","95","Sí","Paquete MEP propio"
"R140","Sí","2.0","palabra_clave","desc","contiene","climatizacion","","","MEP","Building services","MEP-01","HVAC","MEP-01-HVC","HVAC","MEP","Oferta específica","Instalador HVAC","Sí","Precio proveedor validado","95","Sí","Paquete MEP propio"
"R141","Sí","2.0","palabra_clave","desc","contiene","ventilacion","","","MEP","Building services","MEP-01","HVAC","MEP-01-HVC","HVAC","MEP","Oferta específica","Instalador HVAC","Sí","Precio proveedor validado","95","Sí","Paquete MEP propio"
"R142","Sí","2.0","palabra_clave","desc","contiene","pci","","","MEP","Building services","MEP-02","Protección contra incendios","MEP-02-PCI","PCI","MEP","Oferta específica","Instalador PCI","Sí","Precio proveedor validado","95","Sí","Paquete especifico"
"R143","Sí","2.0","palabra_clave","desc","contiene","seguridad y salud","","","TRV","Transversal","TRV-03","Seguridad y salud","TRV-03-SYS","Seguridad y salud","Transversal","Proyecto provisional","Proyecto / normativa","No","Mantener proyecto hasta oferta","95","Sí","No mezclar con medios auxiliares"
"R144","Sí","2.0","palabra_clave","desc","contiene","control de calidad","","","TRV","Transversal","TRV-04","Control de calidad y laboratorio","TRV-04-LAB","Ensayos / laboratorio","Transversal","Oferta específica","Laboratorio","Sí","Precio proveedor validado","95","Sí","Incluye ensayos materiales"
"R145","Sí","2.0","palabra_clave","desc","contiene","laboratorio","","","TRV","Transversal","TRV-04","Control de calidad y laboratorio","TRV-04-LAB","Ensayos / laboratorio","Transversal","Oferta específica","Laboratorio","Sí","Precio proveedor validado","95","Sí","Incluye ensayos materiales"
"R146","Sí","2.0","palabra_clave","desc","contiene","commissioning","","","TRV","Transversal","TRV-06","Pruebas, commissioning y garantías","TRV-06-COM","Commissioning","Transversal","Proyecto provisional","Proceso / automatizacion","Sí","Mantener proyecto hasta oferta","95","Sí","Clave en EPC de agua"
"R147","Sí","2.0","palabra_clave","desc","contiene","puesta en marcha","","","TRV","Transversal","TRV-06","Pruebas, commissioning y garantías","TRV-06-COM","Commissioning","Transversal","Proyecto provisional","Proceso / automatizacion","Sí","Mantener proyecto hasta oferta","95","Sí","Clave en EPC de agua"
"R148","Sí","2.0","palabra_clave","desc","contiene","prueba de estanqueidad","","","CIV","Civil","CIV-06","Cimentaciones y estructuras de hormigón armado","CIV-06-PRU","Pruebas de estanqueidad","Pruebas HA","Proyecto provisional","Equipo obra / QA","Sí","Mantener proyecto hasta oferta","95","Sí","Puede estar oculta en depositos"
"R149","Sí","2.0","palabra_clave","desc","contiene","medios generales","","","TRV","Transversal","TRV-08","Indirectos de obra y medios generales","TRV-08-MED","Medios generales","Transversal","Proyecto provisional","Control de costes","No","Mantener proyecto hasta oferta","95","Sí","No mezclar con partidas directas"
"R150","Sí","2.0","palabra_clave","desc","contiene","explotacion provisional","","","TRV","Transversal","TRV-07","Explotación provisional / mantenimiento durante obras","TRV-07-EXP","Operación provisional","Transversal","Descompuesto / oferta","Operacion / proceso","Sí","Precio proveedor validado","95","Sí","Critico en remodelaciones"
"R151","Sí","2.0","prefijo_codigo","codigo","empieza_por","gr","","","CIV","Civil","CIV-17","Gestión de residuos","CIV-17-RCD","Por determinar","Residuos","Tarifa oficial","BOIB / Mac Insular","No","Tarifa vigente + ajuste técnico","90","Sí","Codigo GR → residuos; refinar por descripcion"
"R200","Sí","2.0","palabra_clave","desc","contiene","acabado","","","CIV","Civil","CIV-14","Arquitectura y acabados","CIV-14-ACA","Acabados interiores","Arquitectura","Referencia histórica actualizada","Obra propia / proveedor","No","Mediana si >=3 fuentes; mínimo 2","75","Sí","Acabados en construccion → CIV-14 (pintura, enfoscado, alicatado)"
"R201","Sí","2.0","palabra_clave","desc","contiene","ultrafiltracion","","","MEC","Mecánico","MEC-01","Equipos mecánicos de proceso","MEC-01-ULT","Membranas / ultrafiltración","Equipos mecánicos","Oferta específica","Proveedor membranas MBR","Sí","Precio proveedor validado","90","Sí","Ultrafiltracion = proceso; no OI ni impermeabilizacion"
"R202","Sí","2.0","palabra_clave","desc","contiene","calcita","","","MEC","Mecánico","MEC-02","Equipos específicos IDAM / OI / desalación","MEC-02-FIL","Filtros / remineralización","Desalación","Oferta específica","Proveedor filtros","Sí","Precio proveedor validado","90","Sí","Calcita = postratamiento OI; familia IDAM"
"R203","Sí","2.0","palabra_clave","desc","contiene","remineralizacion","","","MEC","Mecánico","MEC-02","Equipos específicos IDAM / OI / desalación","MEC-02-FIL","Filtros / remineralización","Desalación","Oferta específica","Proveedor filtros","Sí","Precio proveedor validado","90","Sí","Remineralización = postratamiento OI"
"R204","Sí","2.0","palabra_clave","desc","contiene","cableado","","","ELE","Eléctrico","ELE-05","Cableado, bandejas y canalizaciones","ELE-05-CAB","Cableado / bandejas","Eléctrico","Oferta específica","Instalador electrico","Sí","Precio proveedor validado","88","Sí","Cableado electrico; separar civil de electrico"
"R205","Sí","2.0","palabra_clave","desc","contiene","bandeja electrica","","","ELE","Eléctrico","ELE-05","Cableado, bandejas y canalizaciones","ELE-05-CAB","Cableado / bandejas","Eléctrico","Oferta específica","Instalador electrico","Sí","Precio proveedor validado","88","Sí","Bandeja portacables electrica"
"R206","Sí","2.0","palabra_clave","desc","contiene","proteccion contra incendios","","","MEP","Building services","MEP-02","Protección contra incendios","MEP-02-PCI","Protección contra incendios","MEP","Oferta específica","Instalador PCI","Sí","Precio proveedor validado","95","Sí","Proteccion contra incendios = PCI"
